SKUÉRÅ[Éh,ç›å…êîó 
260410010309475,0
231510020813602,0
231510020813621,1
231510020813802,1
231510020813821,1
231510020814002,1
231510020814021,2
231510020814202,0
231510020814221,1
231517001630028,0
231517001630078,0
231517001634628,0
231517001634678,0
231517001634828,0
231517001634878,0
270517001630028,0
270517001630078,0
270517001634628,0
270517001634678,0
270517001634828,0
270517001634878,0
220517001630005,0
220517001630019,0
220517001634605,0
220517001634619,0
220517001634805,0
220517001634819,0
231517000259118,0
231517000259318,0
231517000259418,0
240510001383602,0
240510001383632,1
240510001383802,1
240510001383832,1
240510001384002,0
240510001384032,1
240550001323624,1
240550001323824,0
241550001323612,1
241550001323812,1
220510010259208,0
220510010259308,1
232510000253415,1
232510000253419,1
232510000253615,1
232510000253619,1
210510000253485,1
210510000253685,0
210510030253402,1
210510030253419,1
210510030253602,2
210510030253619,2
210510010253482,1
210510010253682,2
232510010253493,1
232510010253693,0
210510020253605,0
210510020253619,2
232510020253619,2
250550002183502,1
250550002183602,1
250550002183702,1
250550002183802,0
250550012185019,1
250550012185519,1
250550012186019,1
250550012186519,1
250550012187019,1
250550012187519,1
232510030393802,1
240510000393602,1
240510000393802,2
245510180393628,1
245510180393828,1
220510110549202,4
220510110549231,3
220510110549219,3
220510110549302,5
220510110549331,3
220510110549319,3
220510110549402,3
220510110549431,2
220510110549419,2
232510000549202,3
232510000549214,3
232510000549235,1
232510000549278,1
232510000549219,3
232510000549302,2
232510000549314,1
232510000549335,1
232510000549378,1
232510000549319,2
260510000549205,0
260510000549238,0
260510000549305,0
260510000549338,1
260510010549328,1
260510010549332,1
260510010309302,2
260510010309328,2
260510010309378,1
260550010309372,2
260550010309378,2
260550010309472,1
260550010309478,1
260510000309302,2
260510000309382,2
260510000309378,2
260510000309402,1
260510000309482,1
260510000309478,1
245550000309368,2
245550000309378,2
260510020309302,1
260510020309319,1
260510020309402,0
260510020309419,1
260510030309328,1
260510030309378,1
260510030309428,1
260510030309478,1
260510040309302,1
260510040309314,2
260510040309355,1
260510040309379,3
260510040309319,2
260510040309402,0
260510040309414,1
260510040309455,0
260510040309479,1
260510040309419,1
260550020309302,2
260550020309319,1
260550020309402,0
260550020309419,1
231510040812271,2
231510040812371,1
231510040812471,1
231510040812571,1
231510050812276,2
231510050812376,2
231510050812476,0
231510050812576,1
231510060813621,1
231510060813645,1
231510060813821,1
231510060813845,1
231510060814021,2
231510060814045,1
231510060814221,1
231510060814245,1
